,Cover_Type
135617,2
70301,2
65497,1
202800,1
460403,2
322650,2
401177,7
139746,2
340035,1
316052,2
209270,2
13416,6
392213,1
239652,2
387459,1
302345,1
341007,1
185507,2
207237,2
79033,2
256605,1
368305,6
138993,2
85912,2
163715,2
399014,1
541980,1
453279,2
381974,1
154224,2
549482,2
175042,2
380926,2
361925,2
520340,2
98564,2
195614,5
436439,1
244312,2
270531,2
494327,7
337693,1
454178,1
97183,2
168337,1
431123,2
362026,2
372563,2
35026,1
281567,1
33346,2
333734,1
269308,1
230481,2
437605,1
307208,3
258083,2
218068,1
151937,1
3327,4
433635,1
29576,2
160581,1
510847,1
575565,6
234804,2
212698,1
80244,1
456722,1
124528,2
192723,1
488553,1
220155,2
444440,2
224774,2
340588,2
358978,2
393270,2
33720,2
425083,2
385821,2
327516,2
525542,1
107493,2
454708,1
547992,2
411250,2
511998,2
41609,1
125213,1
458548,7
530466,1
507379,2
442734,1
64871,1
7732,2
571381,2
509905,1
295243,2
442252,2
159409,1
477271,2
260096,4
326632,2
463576,7
491507,1
317947,2
526210,1
489677,1
387555,2
509338,2
481322,1
233294,2
235097,1
246655,6
202131,1
244926,2
187814,1
449403,1
314497,2
423104,6
416836,1
296736,2
483322,2
79388,2
561316,1
554375,1
148584,1
551345,2
110669,2
338248,7
284028,3
209782,1
54265,1
577268,3
142963,2
416401,1
320572,2
267509,5
295045,6
493761,2
144598,2
278923,6
177079,2
53323,2
571101,2
57195,1
508308,2
547639,2
197119,1
343672,1
384126,1
261619,3
114339,2
175671,1
346632,1
258603,1
191986,1
341118,2
191077,2
229544,2
392471,1
509949,1
132390,2
559458,1
255823,5
532576,2
430254,2
321608,2
193043,2
34472,2
38981,1
293913,2
164705,1
568115,6
199406,2
42328,2
175943,2
164221,2
426008,1
388280,2
374202,7
486700,2
102890,1
50154,1
148541,1
1830,2
342429,1
83350,2
106934,2
331648,5
529498,1
396740,3
580115,6
533587,1
156792,1
55206,2
466057,1
433894,2
365618,3
103184,1
258425,3
92449,2
299473,2
510100,2
115424,1
290204,3
415439,1
109091,2
342811,7
470388,7
154659,2
279286,2
490990,1
114570,2
495314,1
127307,2
494960,1
249121,2
202145,2
265049,3
217721,2
146144,2
1197,5
17877,1
473272,1
359317,1
150808,2
61036,2
507833,2
65549,1
371716,2
130217,2
481007,2
518990,1
194929,1
90621,2
510367,1
213112,1
247329,2
186820,2
168664,2
398360,1
239483,2
232803,1
390916,6
404730,1
346602,1
551412,1
58195,1
580794,3
257289,3
506645,1
532252,1
424317,1
350135,1
557021,2
153075,2
11803,1
175551,2
559262,2
167406,2
551088,2
571417,2
128096,2
401986,2
377824,1
561428,2
171310,2
281393,6
86981,1
103744,2
472162,1
545675,2
331241,1
210486,2
200911,1
571875,3
142441,1
141637,2
256224,3
509260,5
169379,2
289683,3
300698,2
280249,6
426818,2
53657,2
112673,2
145424,2
472660,2
349612,2
414449,2
206197,1
398817,3
168362,1
249343,3
174638,2
109633,2
487699,2
121987,2
272575,2
510143,1
312342,2
418538,1
147432,2
385827,2
202199,2
512432,1
149019,2
256935,1
320377,1
93600,2
486273,1
97230,2
47821,2
285901,3
365566,2
416498,2
283468,3
161717,2
200882,1
523750,1
388636,1
384472,1
59191,2
291201,3
58099,1
387053,3
135041,2
136673,2
281855,3
511646,7
408497,2
557914,2
227658,2
10269,2
391989,2
365376,1
73567,2
32789,2
336074,3
448002,7
326970,1
241821,2
373124,2
261735,3
393452,3
300560,1
471642,1
425934,1
124427,2
51626,2
569239,2
75182,2
316961,2
221618,2
197403,2
507552,1
40701,2
66580,2
508703,2
422171,1
433701,1
25155,2
85842,1
329245,2
340741,2
239457,2
365790,2
567323,2
299940,2
34941,2
253744,3
475947,2
120345,2
269840,1
366320,2
217101,2
508589,1
391459,2
369715,7
272445,1
211551,1
483211,2
360285,5
202418,2
446785,2
28300,2
24177,2
109305,1
542554,2
201315,1
197498,1
157200,2
504429,1
98004,2
540151,1
399790,1
402573,1
235425,6
576134,3
383520,2
62178,1
464022,2
523014,2
465729,7
105537,2
251135,6
536219,1
111737,2
501385,1
398948,2
341297,2
339266,2
498487,7
149873,2
251277,3
35213,2
124593,2
408569,1
445011,1
156508,2
334663,2
237185,2
134119,2
166320,2
238831,6
577149,3
487649,2
496041,2
45846,2
31175,2
216146,7
205637,1
27295,2
575887,6
102608,2
388819,2
468501,1
114024,2
80165,2
24531,1
315474,2
438050,1
196432,1
87339,2
379972,2
3484,4
351796,3
528503,1
279205,1
35386,1
141274,2
424731,5
89305,2
557368,2
310479,1
511922,1
337318,2
332013,1
284223,6
166047,1
216189,2
572388,3
191052,1
224058,2
390818,2
32243,2
368512,2
363070,1
192436,1
314369,1
500858,1
556452,2
536288,1
301589,2
510263,1
6620,3
450376,1
313453,2
433170,2
250009,3
475687,2
258368,2
353688,3
125847,1
561433,2
127292,2
181727,1
46209,2
348569,1
321226,2
317555,1
321016,7
365830,1
317148,1
11197,3
461984,2
577257,3
236302,2
247558,2
572204,3
36256,1
196210,5
573346,3
407794,1
229518,2
16729,2
492003,2
143243,2
526802,2
200087,1
531058,1
345243,2
355995,2
280906,1
440418,2
26052,2
443310,2
470277,1
212496,7
375767,3
35328,2
217552,1
487696,7
221344,2
231659,1
103848,2
569479,2
447496,2
577639,3
321705,1
58953,2
153463,2
171821,5
210402,1
332628,1
270613,3
548162,2
323611,2
573273,3
90305,1
263082,2
432831,1
124153,2
267905,2
172492,1
119881,2
10320,7
321250,2
265799,2
579411,3
251406,2
292286,1
46789,2
177156,1
286992,6
101329,2
399276,2
303533,2
72225,1
111135,2
355713,2
359959,2
398831,3
188196,1
39561,2
516502,1
49428,1
54207,2
166558,1
372605,2
48327,1
109726,2
253776,3
248866,6
241613,6
171542,1
509231,2
363944,1
154810,1
189868,2
572180,3
503382,1
293293,1
446897,2
206451,1
549350,2
268505,5
561862,1
378688,1
268195,3
333038,2
407361,1
201807,1
481671,2
493705,1
143781,2
324328,2
294441,6
222509,2
242603,2
132325,2
361368,2
419236,1
1130,2
154887,2
570883,3
342913,1
249789,2
580869,3
120765,2
375180,1
525405,2
55762,2
456064,1
73462,2
318093,3
492627,2
209695,1
39336,1
211749,1
498373,2
571902,2
426458,1
545794,2
327455,2
334598,2
63652,2
11447,1
243344,2
439747,2
125427,2
405324,2
105375,2
176962,2
9002,1
444157,1
25615,2
384828,1
448730,1
222604,1
278744,1
133539,2
551163,2
248623,2
168889,2
316086,3
513009,2
341948,2
472205,2
306706,3
103288,5
391622,1
189812,1
355284,2
325229,2
490629,2
135151,2
17550,2
335965,2
391542,3
91022,2
179535,1
512615,1
119196,1
267797,7
294379,2
454047,1
69149,2
222954,6
279692,6
124886,2
13694,1
288621,3
447755,1
526076,1
64732,2
324064,3
214454,2
98813,2
149124,1
132859,2
360282,2
370704,2
205026,1
239709,3
227418,2
97257,2
324288,1
160577,2
566662,3
330068,2
247791,3
109195,2
34795,1
221176,2
224033,2
447906,2
308516,2
339739,2
580797,3
336191,1
60324,1
84929,2
449178,1
303909,1
231538,3
441950,1
221338,2
333928,3
496287,1
14308,7
114328,2
493054,1
207303,1
265172,1
539777,1
482510,2
177778,2
412955,2
452756,2
301232,2
467729,2
483987,2
4250,3
140908,2
506501,1
364137,1
551973,1
181335,1
503085,1
302627,2
263275,3
332530,2
46787,2
412416,2
178641,1
92677,2
482075,2
77172,2
288288,6
160436,2
225471,2
464572,1
206158,2
442269,1
17717,2
281962,3
11280,6
207881,1
212973,1
505378,1
265010,3
492326,2
131704,1
96570,2
390362,1
302968,1
218837,2
139071,2
228993,2
402754,1
249794,2
115991,2
236221,2
547237,2
288013,3
535341,1
36007,2
403702,1
289565,2
544591,2
280193,3
393979,2
460673,1
154629,2
49259,2
10859,3
162497,2
71114,2
459445,2
428554,1
413279,1
61203,2
412502,3
78039,2
380487,1
55433,2
199853,2
569427,2
568429,2
498395,2
227646,6
418279,1
375380,1
55416,2
51824,2
449206,1
564085,2
23323,1
515852,1
342710,2
75806,1
106547,1
270813,1
332811,2
176928,2
284088,6
88066,2
131476,2
261944,2
386143,1
304480,1
125455,1
316884,1
262972,5
98675,2
44848,2
441858,1
529919,7
328153,2
136621,2
348529,1
442078,1
292936,1
186239,1
55275,1
315251,1
369120,2
88696,2
117212,2
464350,2
454716,1
482735,2
252204,2
286061,1
489400,1
454195,1
544184,7
538399,1
194225,1
35409,1
349978,3
433859,1
360479,1
293728,1
10691,2
336931,1
191791,2
38722,2
186052,1
406193,2
353979,1
269992,2
214703,2
281158,1
392500,7
537884,1
211014,2
68473,1
499932,2
300332,2
14037,5
442959,1
550531,2
493646,1
34399,2
197149,2
409469,2
152410,2
35449,1
320422,2
560487,2
506866,7
540685,1
365729,1
221167,5
507945,7
352223,2
217940,2
296390,6
336249,1
320187,1
404952,6
14643,7
54130,2
311643,1
68795,1
282233,2
520990,1
36316,2
218956,1
153967,1
17438,1
472987,2
412679,1
177453,1
454255,2
561802,2
519001,1
320570,2
251830,3
214008,1
537204,1
563620,1
75662,2
159115,2
295717,2
18540,1
312928,2
307380,1
174438,2
5407,4
436326,1
403486,5
219346,2
526730,1
268063,2
422816,1
57694,2
448533,1
417533,1
186639,2
188989,1
476353,1
468463,1
161517,1
429017,1
468572,1
184206,1
40004,2
474194,2
213000,1
298828,2
45971,1
531650,2
66227,2
416744,1
36480,2
238482,5
347715,1
180271,1
199402,2
28032,2
113222,2
506703,1
81411,2
578841,3
75122,2
553599,1
138843,2
93299,2
385173,2
171734,1
400034,1
68292,2
492802,1
357949,2
332078,2
209617,2
236917,6
272720,3
334672,2
141349,2
318929,2
69198,2
92680,2
106977,2
131071,1
510756,2
212649,1
496364,1
148978,2
315398,2
357891,2
340424,2
39155,2
347385,1
44142,2
3365,4
355513,6
329050,1
340987,1
80918,1
494828,7
164371,1
92580,2
53207,2
340227,7
296937,6
72546,2
465430,2
534118,2
509527,1
72252,1
410963,1
321604,2
195964,2
570906,2
493391,1
323770,1
347708,1
388450,2
387212,2
244946,2
468922,2
424204,6
96745,2
393062,1
411709,2
24594,2
383865,2
512708,2
563885,1
293747,1
56988,1
321264,2
568529,2
103016,2
320880,2
207840,1
263967,2
515418,2
257564,1
555791,2
395234,1
349067,2
171192,2
484302,2
47786,2
127999,2
530111,2
63436,1
22885,2
528573,2
468107,1
102703,5
232971,6
158242,1
438511,1
418192,1
58061,2
131660,2
327079,1
297358,6
342088,3
223078,7
534833,2
167743,1
13058,3
338960,1
344748,1
376466,2
497184,1
446855,1
264596,3
151374,2
482549,2
350960,1
39810,2
330457,1
550040,1
573105,3
562277,2
422964,2
183774,1
521589,1
387017,6
54814,2
221207,2
397629,2
556048,2
444189,1
32239,2
141163,2
316254,1
427117,1
340979,1
211125,2
420061,1
397001,1
183922,1
331015,3
557891,2
84168,1
119888,2
236921,6
297798,6
79539,2
317158,1
453197,1
531791,2
239997,2
309273,1
414855,1
421699,1
357049,7
499303,1
486102,2
398875,1
298011,2
47712,2
390835,2
350585,3
112517,2
459160,1
272324,1
254215,2
252397,3
246846,2
397709,1
555521,1
471837,2
175170,2
240649,3
521486,1
562113,2
195854,2
401207,1
49119,1
476831,2
331973,1
468118,7
514794,1
481210,7
396318,1
536239,2
267484,2
34126,2
255565,3
237542,2
154214,1
438128,2
425955,1
37396,1
154478,2
362514,2
108874,2
380007,1
80732,2
133238,2
458645,1
51355,2
292546,3
344808,1
101368,2
549971,1
261399,2
510029,2
179226,1
534347,7
336219,1
302846,1
191720,2
461492,2
427153,1
409170,1
267385,2
394702,2
410131,2
174500,2
116390,1
456482,7
153302,2
536157,1
286580,6
142542,1
496042,1
296557,1
505540,1
36120,2
148673,2
197765,1
233059,7
276831,1
496408,1
11542,2
502355,2
299282,6
526470,1
422363,1
146076,2
86127,1
232269,2
381470,1
407199,1
407425,1
68631,2
22707,2
131020,2
327262,1
408138,1
161448,2
445604,2
265176,1
470749,2
107093,2
317654,2
334987,2
25144,2
170814,2
254517,2
349214,2
95832,2
302716,3
144026,2
300723,2
205570,1
249671,2
135801,2
269143,3
565824,2
527589,1
222391,2
49733,2
483059,2
34513,2
143197,2
304687,2
383067,6
239428,2
164933,2
544613,1
246246,2
387392,1
542585,2
390672,1
181579,1
168182,2
360461,1
482325,1
220812,2
480881,2
513085,7
31332,2
74718,2
410875,1
406079,1
308198,3
84077,2
465733,1
474172,2
503756,1
286435,3
342234,1
104619,1
409172,1
136044,2
192844,1
570087,2
532823,1
575090,3
578663,3
67977,2
201365,2
450204,1
310513,2
186615,2
284025,3
445764,1
452427,1
479821,1
8286,1
151585,2
9857,7
285357,6
145886,2
57008,2
307351,1
512537,1
321915,2
327952,1
124496,2
408095,2
340970,1
518911,1
366504,2
565885,2
191562,1
415633,1
181901,1
11457,2
503098,1
453497,1
273736,3
146671,1
260122,3
424927,1
390484,1
222347,2
253191,6
236399,3
264296,2
409491,1
374268,2
525040,1
436320,1
199351,2
557678,2
160541,1
408301,5
20775,1
463832,2
54298,1
249609,1
481664,2
53462,2
521979,1
22656,1
553487,2
17434,1
384956,2
254942,3
214404,2
427979,1
368101,1
173401,2
92560,2
75563,2
156203,2
255351,2
493773,2
241541,3
38265,2
72579,2
145723,1
270911,1
104684,2
156121,2
64363,1
172273,2
450148,1
357912,1
53834,2
30710,2
348359,1
413817,2
517992,7
385590,2
566313,2
209264,2
5658,7
17965,2
384335,2
7622,6
81420,2
3945,4
37328,2
245479,2
473769,7
311063,2
467327,2
18207,2
503428,2
448583,1
529621,2
408588,1
478717,2
396558,1
549761,2
427821,2
52150,2
531330,2
154345,2
332230,1
381892,2
183439,1
477456,2
366476,1
538466,7
480541,2
192245,1
432374,1
414244,1
291682,3
486196,7
252608,1
37804,1
576844,3
497282,2
302441,1
299662,3
354490,2
414791,1
134755,2
407862,1
60378,2
351825,3
551206,1
341626,1
522185,1
561738,2
498388,2
17499,2
484980,2
28011,2
91689,2
318609,2
380095,7
162911,1
395142,2
187029,1
306779,1
317068,1
82049,1
134719,1
260628,3
466374,2
293323,2
40407,2
548944,2
264642,6
185643,1
255666,2
186473,1
530125,2
11707,2
320335,7
26626,2
89025,2
268190,4
233218,2
154077,2
380243,2
575883,6
21053,2
307406,2
577201,3
203246,2
194577,1
211164,1
251708,2
44399,1
458657,1
455429,1
286765,2
31666,2
335920,2
129298,2
339760,2
523092,2
112195,2
206948,1
172267,2
156679,2
135827,2
110798,2
191741,1
456867,2
139998,2
130650,2
2421,2
574478,3
532919,1
456525,1
389321,1
546454,2
384740,7
178566,2
523672,1
409159,5
415418,1
372453,7
163276,2
444176,1
156890,2
6281,4
107196,1
532130,2
185223,1
348422,2
400240,1
167679,2
497908,1
346296,2
197400,2
405598,5
555442,2
339400,2
389413,1
139388,2
528102,2
356073,3
418227,2
267527,2
495341,1
159790,2
180203,2
20696,2
63370,1
447150,1
440503,1
325001,1
274242,1
57877,1
137681,1
60925,2
129985,1
201812,1
103504,2
239273,6
483600,1
65373,2
87065,1
499368,1
399389,2
547310,2
213709,7
575952,3
438078,2
30659,2
551053,1
139573,2
349456,1
60362,2
417507,1
63791,2
462634,7
494810,7
483503,2
503277,2
357614,1
108795,2
177063,2
23390,2
265087,6
198632,1
392565,1
97606,2
328483,2
407512,1
154402,2
65348,2
501368,1
531619,7
432670,1
341501,2
46937,2
222994,2
110259,2
99172,1
140469,2
280203,3
477845,2
496875,7
407709,2
130150,2
314984,1
47916,1
351841,3
166716,2
318565,2
549082,2
474299,2
391746,1
65103,2
96146,2
386715,1
39226,2
262230,3
382859,2
141744,1
130979,1
363176,2
264038,3
24847,2
273677,1
359799,3
12009,6
419914,7
476585,2
125620,2
457596,2
380422,3
528185,1
55300,1
314319,1
485771,2
10688,2
532623,2
123527,1
10704,1
220691,1
537087,2
82979,2
87216,2
217193,2
328711,2
577549,3
398474,7
546196,2
60615,2
331495,1
540263,1
61527,2
57285,1
17753,2
64443,2
55711,2
75849,2
130720,1
299689,3
329279,2
524936,2
286635,1
431365,1
325670,2
37847,2
153100,2
165209,2
177478,2
373016,7
326016,2
556594,2
297873,1
515493,1
114057,2
420588,2
398431,1
107429,2
102531,1
539571,2
233515,3
491425,1
252904,2
487095,2
7314,2
273603,1
414831,1
420745,2
151939,1
287593,3
571115,2
380147,1
277303,6
344088,7
219717,5
28289,2
574362,3
413571,1
32363,2
280937,1
88316,2
329807,1
331591,2
262220,3
532136,2
459148,7
370153,2
116705,2
187935,1
22980,2
194419,1
230228,1
561163,1
364652,2
256780,6
348588,2
225878,1
158634,2
476752,7
204867,1
563032,1
239363,5
461759,1
313708,1
164362,2
297631,2
224235,2
438381,1
78976,2
177447,1
547561,2
458307,1
554673,2
75062,5
396466,1
315837,1
363065,1
578648,3
213771,2
560764,2
165338,2
470022,1
6240,6
406064,2
298316,1
536481,1
33586,2
180155,1
10723,6
487023,1
561910,2
132364,2
28371,2
393556,2
299863,1
187041,1
219619,1
290601,2
477380,2
475361,2
388357,5
428739,1
306898,2
564735,2
166709,2
156144,2
352013,2
292912,2
1703,7
87792,2
469592,1
524811,1
137997,2
432481,1
194027,1
145301,2
284527,2
229202,7
580566,3
318966,2
162471,2
466670,1
517853,1
106540,1
56432,2
407937,1
571427,2
269282,1
134050,2
347567,2
447682,1
512571,1
137788,2
402852,5
144837,2
308800,1
130093,2
74490,2
118517,1
496842,7
455120,1
244357,2
230266,2
360237,2
548265,1
143122,2
340842,3
560515,2
32973,2
282402,3
509438,1
355224,7
248121,2
540380,2
19736,2
348708,2
368689,2
204489,1
389532,2
189300,1
309298,1
564714,2
178715,1
214890,1
565185,2
442484,1
203672,1
520639,7
416831,1
490179,1
478758,7
13540,5
527864,1
460042,1
361461,1
419008,2
419407,1
440928,2
413031,1
108451,2
363490,2
549112,2
234524,1
575013,3
488599,1
41991,1
7017,5
191401,1
261830,1
39768,2
7733,6
512760,1
362701,2
451701,2
306399,1
376699,1
135256,2
358516,2
134687,2
72292,1
123513,1
284368,1
261932,2
302542,2
82824,2
317079,1
149558,1
280390,1
294485,3
451841,1
297854,1
7332,6
206580,2
569810,2
22143,2
496066,1
204295,1
479949,2
409223,1
542352,2
191983,1
48252,2
440248,1
574994,3
414982,2
222684,1
59458,2
214866,1
233085,7
225132,2
321019,1
393223,1
66915,2
172766,2
158494,1
18356,2
380518,1
35547,2
457458,2
204266,1
481849,1
66507,2
366383,1
515123,2
569519,2
465999,1
343122,1
459106,1
492490,1
293477,2
151024,2
243178,2
116450,2
85715,2
511321,2
556932,2
32622,2
383986,1
296667,1
154672,2
335349,3
196645,1
437250,1
157750,1
298998,6
87225,2
403782,1
7357,7
313955,1
175339,2
460962,2
246734,2
406207,2
561971,2
227929,2
563084,2
1525,2
128106,2
469519,7
156567,1
347290,2
212908,2
291208,3
185585,1
11806,2
521765,1
235572,1
110432,2
571318,2
420237,6
289887,1
132402,2
157726,1
26588,2
434668,1
364897,2
477537,1
525015,2
206455,1
55703,2
238959,2
294185,1
203479,2
241486,1
455114,1
519983,1
361899,1
98597,1
21483,1
294044,4
243150,5
41901,2
208444,2
570061,2
351410,2
73188,1
66154,1
549646,2
160983,2
86657,2
283543,3
121644,2
351692,5
89696,2
430560,1
296020,6
280667,6
317789,1
298439,2
323800,2
579295,3
78758,2
259976,2
78163,2
187287,1
395067,1
571282,2
348888,1
471263,7
359803,3
394360,2
8833,5
232043,3
529046,1
477152,1
321935,2
62441,2
195869,2
323400,3
272068,1
347399,1
221685,2
73018,2
286556,6
490114,2
44210,2
493804,2
211676,2
465040,1
340128,5
452335,1
144262,1
525206,1
246058,3
396195,2
233185,5
211552,1
69140,2
494951,2
423173,1
537398,2
317695,2
294335,1
310915,1
94774,1
67274,2
498209,2
319888,2
350834,2
493859,7
555447,2
5789,3
306634,1
471531,2
562696,1
459400,2
353598,2
530708,1
369447,3
294332,1
211265,1
549162,2
217711,2
475297,2
484154,2
182870,1
142844,2
309517,2
494021,1
335133,2
67576,2
23132,2
264488,3
143928,1
127413,1
261817,1
279571,3
375681,2
185251,2
90874,2
200373,1
452888,1
537254,1
116692,2
6409,6
129019,2
306757,1
273288,3
152925,2
240560,2
274312,3
533029,2
350560,3
360169,2
266094,2
99085,2
83077,2
111238,2
347211,1
549223,2
69679,2
74049,1
349055,1
257567,1
47158,1
49825,1
30551,2
27137,2
307650,6
446091,2
464724,1
552324,2
157404,2
232926,2
194925,1
212233,2
564719,2
223870,6
422819,1
570875,6
166399,2
218806,2
573211,2
456305,2
384860,2
327657,1
212508,1
45870,2
503002,7
340101,2
21350,2
197770,1
349532,1
75986,2
410642,1
43628,1
377065,6
123954,1
187146,1
137454,2
179626,1
503212,1
359752,2
131110,2
272383,1
507414,7
349646,1
204723,1
559610,2
35982,2
485590,1
529304,1
490818,7
91781,2
78059,2
385391,7
189711,2
244913,1
325507,2
510416,1
158902,1
33060,1
247573,2
247831,5
528180,1
8990,1
60850,2
360755,2
560702,2
375835,1
291014,1
276749,6
431152,2
286977,3
420465,1
234379,6
353539,5
413729,1
130177,2
289027,2
319402,1
291706,6
577611,3
321867,2
396002,2
177622,1
263862,2
37619,2
47063,2
218310,2
34471,2
384940,2
238629,2
497375,2
251559,2
436059,2
182115,1
544408,1
22153,2
320249,2
71269,1
383622,2
169943,2
323095,1
579196,3
204571,2
21604,2
448526,1
91109,2
198163,2
433878,2
563772,1
218167,2
492013,2
148774,2
212747,1
246936,2
141713,2
105651,2
436759,2
387734,1
402992,1
264351,2
549191,2
317683,2
157640,2
134793,2
118816,2
453797,2
94384,2
70540,2
563346,1
228287,1
340501,1
287982,2
330446,1
437294,1
192397,1
398615,1
301981,2
366028,2
254320,3
577073,3
95794,2
336209,1
531212,7
505840,1
270756,4
331196,1
36591,1
405102,1
242982,6
483980,2
161703,2
365109,1
198082,1
201616,2
184058,2
304271,3
15151,2
101849,2
469625,2
453666,1
260338,1
275764,1
553181,1
177054,1
307461,1
577328,3
38564,1
408516,1
558358,2
339072,2
327847,2
100415,2
32545,2
318859,1
135138,2
363198,2
491620,2
159293,1
331256,1
319798,1
404823,2
71879,1
401368,1
546032,2
241682,2
527066,1
423848,1
534650,1
558360,2
186808,1
519953,2
550411,2
425586,1
562814,2
166595,2
438601,1
24767,2
54117,2
452072,7
46877,2
173032,2
255600,6
411367,1
76813,2
411045,2
303030,2
116935,2
43408,2
433542,2
340456,2
519447,1
491364,2
507498,1
28478,2
198914,1
395377,2
438463,1
139025,5
168152,2
324565,1
135940,2
186909,2
391673,2
14734,1
564132,2
138018,2
526112,1
579754,3
374032,2
122992,2
111827,2
502352,2
476765,7
542572,2
108581,1
477343,7
470588,1
292612,3
579250,3
67638,2
63097,2
402635,2
375807,2
333832,2
447035,2
558585,1
394896,2
518920,1
93368,2
61135,1
513222,2
308005,2
104642,1
66645,2
266058,1
276658,3
512021,2
326996,1
510930,1
350026,3
117692,2
451766,1
388625,2
76399,1
388458,2
485799,2
202358,1
231029,6
141534,1
399417,2
327941,1
155195,2
225216,2
77875,2
266354,3
50115,2
403537,2
508639,1
167324,2
543348,2
468453,2
27109,1
51320,2
470778,1
113233,2
198865,1
540172,1
323685,2
176144,1
443795,1
412178,1
153385,2
408405,1
126900,2
339069,2
214995,2
302664,2
567413,2
533531,1
434048,1
251098,2
470983,2
420167,2
494281,2
339001,1
93815,2
380948,2
228413,2
246460,1
257751,2
44888,1
409394,1
252010,1
361580,3
360922,2
244503,3
303023,2
425197,2
187811,1
76831,2
277405,1
29154,2
83979,2
231482,2
434727,2
124519,2
384683,1
534558,1
549310,2
265434,3
480624,2
366640,2
165756,1
83731,2
456707,1
552616,2
105726,2
77441,1
507880,2
135227,2
237088,2
492538,7
85680,1
347168,1
376667,2
475877,2
282297,2
57149,2
153419,2
24209,2
371062,3
12910,6
130547,2
472012,2
189183,2
104483,2
377726,2
354821,2
131132,2
524655,1
284003,3
534194,1
236227,1
321116,1
179831,2
417034,1
357715,1
43285,2
189518,2
167357,1
184523,1
558590,1
287462,3
142114,2
384220,2
144889,2
160431,2
543045,1
121531,2
523765,1
252507,3
424036,1
532368,1
428475,1
46413,2
32434,2
350271,1
31003,2
217618,2
24275,1
261052,1
262610,3
378259,2
138636,2
81101,1
474393,2
184250,1
538070,2
468119,7
55097,2
255229,2
27049,2
288373,1
428192,2
476871,1
441092,1
338239,1
347281,2
422493,2
476364,2
159606,2
344285,2
146936,2
27308,2
11163,6
97443,2
180089,2
275690,1
104443,2
113216,2
127576,2
154802,2
364195,7
153554,2
349820,2
500441,1
544186,7
96769,2
35539,2
257451,1
443926,1
109122,2
516174,1
468882,1
212391,1
182074,1
333356,1
153973,2
489541,2
446524,2
404689,2
556721,2
117198,1
469114,1
329689,2
541625,2
116829,2
351581,1
554602,1
49942,2
508846,1
396529,1
178858,2
173057,2
368385,6
122144,2
362813,1
573271,3
166579,1
377204,2
455086,1
116826,2
246010,6
518627,1
120477,2
305089,2
569975,2
434227,1
199934,2
385240,2
288330,1
124170,2
518099,2
241999,6
490106,1
202114,1
516492,1
154718,1
13905,3
10760,6
194513,1
408785,1
390035,1
282628,1
47814,2
185833,1
562127,2
103373,2
360229,2
119679,2
484150,2
84418,2
481461,1
397847,1
360778,2
444793,2
182009,1
119216,2
44740,1
99197,1
296355,3
81837,2
100881,1
16523,2
41073,2
555381,1
32834,1
468458,2
274874,3
96753,1
375267,5
128858,2
499242,1
195821,2
506417,1
69581,2
44793,1
45505,1
34609,1
160877,1
101013,2
294844,2
313071,2
237169,2
211259,1
269853,1
493033,1
56586,1
517987,1
364441,2
353196,1
90937,2
359569,2
415036,1
263784,1
483409,1
81693,2
196145,1
196844,2
360139,1
109563,2
404126,2
531588,1
30229,2
180772,1
572966,2
83343,2
366783,7
528341,1
284665,6
112507,2
90626,2
364695,1
565978,2
265833,3
228780,1
532171,2
55254,1
547239,2
157475,1
467174,1
75,2
156448,2
215775,1
42829,1
536195,1
380554,2
197926,2
505608,2
242023,3
168098,2
334399,2
263828,1
236869,3
209053,2
434945,1
397258,1
367293,3
208203,5
340835,2
508963,2
92187,2
127359,2
89572,2
369661,1
289653,3
58205,2
293469,2
134039,2
128499,1
496798,1
505734,7
203723,5
386680,1
436180,1
234979,3
227435,2
136362,2
447801,1
45340,2
167573,2
514235,2
27078,2
397003,1
407227,1
183794,2
263400,2
167668,2
95042,2
465506,1
40825,1
48602,2
10450,1
57331,1
337167,1
332822,2
564233,2
492244,1
126523,1
478540,2
313022,2
202,2
391405,2
8760,1
182678,1
184691,2
573547,6
64260,2
247262,2
411449,1
494011,1
231231,2
46834,2
78274,2
494267,1
127596,2
227572,2
166620,1
384773,1
178202,1
6375,5
568991,2
408859,1
572917,3
186236,1
148609,1
566919,6
549681,1
573301,3
244509,3
38050,2
450589,1
292705,6
62390,2
135376,2
450088,1
170084,1
87148,2
144142,2
199077,2
431302,1
563271,2
301522,1
299604,2
397049,1
192118,1
553997,1
381054,2
455534,2
215631,5
272956,1
129767,2
266327,3
142430,2
385662,2
544976,1
318295,2
29414,2
86099,2
513984,2
360671,7
434112,1
345855,5
417955,2
403056,1
328496,2
359895,1
239676,6
294015,3
496140,2
532183,2
409613,2
510132,7
246000,2
55685,2
534543,1
218582,2
226994,2
487939,2
456098,1
78352,2
76001,1
296440,6
352619,2
2321,3
469192,2
165649,2
78324,2
424121,2
131339,1
466903,1
192008,1
387071,1
68656,2
380716,1
325957,2
169833,2
461870,2
111074,2
142421,2
319302,2
346284,1
304138,2
529779,1
423797,1
166410,2
213368,1
288026,3
60023,2
346494,6
97087,2
440582,1
17876,1
494711,2
283471,3
122371,2
302103,2
382776,1
534751,1
538755,2
355148,1
401223,1
395969,2
267561,2
423299,1
571666,2
424516,2
368983,2
158931,2
489927,2
37769,1
383473,7
85911,2
573420,3
572138,3
534739,1
98773,2
383496,1
62413,2
457270,1
315466,2
